X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
2159,310,24,42,8,1273,146,215,205,618,T4,T10,6
2999,23,14,124,9,3684,212,210,133,5044,T1,T29,2
3023,199,9,212,-33,2143,217,248,165,953,T3,T31,2
2998,68,16,240,3,4266,235,206,99,2377,T1,T29,2
3004,90,5,30,0,4572,227,232,139,541,T1,T30,2
2930,42,14,437,-14,591,222,209,119,1740,T1,T29,2
3087,193,12,60,-16,2886,218,250,164,1131,T3,T33,2
2867,92,25,201,85,1348,249,193,57,1986,T3,T13,2
2824,219,14,0,0,4260,204,252,183,564,T1,T29,2
3236,13,9,67,12,3072,211,221,146,2047,T1,T22,1
3211,350,5,212,27,90,210,231,159,1771,T2,T23,1
3278,171,12,390,38,3199,228,245,147,1159,T3,T32,2
1928,270,17,30,8,270,173,244,209,722,T4,T1,6
3175,66,19,242,50,4188,235,199,88,3725,T1,T22,1
3820,7,15,977,44,4478,202,210,144,2561,T3,T40,7
3412,86,12,649,133,2078,237,221,113,1621,T1,T40,1
3054,184,7,90,0,1783,222,245,157,1818,T3,T23,1
2373,300,26,180,79,841,138,219,216,1110,T4,T10,6
3200,51,6,285,-6,2016,223,227,139,3004,T1,T29,2
3105,41,10,85,9,5318,221,219,132,3114,T1,T22,1
2834,128,8,85,9,3078,233,235,134,4648,T1,T29,2
2652,206,33,120,64,2845,180,248,180,1213,T3,T4,3
2611,110,9,42,0,2142,236,230,126,2279,T3,T11,3
2919,102,7,124,0,4991,232,231,132,3461,T1,T16,1
2930,65,4,525,46,1468,223,231,143,1129,T3,T32,2
2985,352,32,503,17,4206,149,169,146,2179,T1,T29,2
3049,12,26,270,23,845,183,177,121,1273,T3,T24,1
3180,54,11,703,99,1218,226,217,123,2397,T3,T32,1
3181,256,2,182,5,4983,214,240,163,2435,T1,T23,1
2859,309,12,192,18,2890,187,232,185,2489,T1,T29,1
3273,66,13,849,192,1495,232,213,110,3170,T3,T33,1
3071,215,16,391,49,1401,203,253,183,752,T3,T13,2
3188,69,6,30,0,5120,226,228,136,1959,T1,T22,1
2887,79,8,212,6,2037,231,226,128,2844,T3,T26,2
3077,165,7,30,0,6068,227,243,149,2382,T1,T29,1
3270,240,5,926,160,1872,210,244,172,2445,T3,T31,1
3201,336,9,108,-3,3188,201,229,167,4871,T1,T29,1
2867,159,12,210,35,1065,233,242,138,1832,T3,T10,2
3227,341,23,571,151,1071,165,199,168,1939,T3,T33,2
2735,217,22,90,62,1773,192,254,191,1187,T3,T13,2
3271,93,5,192,11,6153,227,233,140,283,T1,T22,1
3027,34,5,531,44,3113,219,228,145,677,T3,T32,2
2876,71,19,268,87,3355,237,201,88,1699,T3,T4,3
3035,8,11,362,102,624,207,218,147,1671,T3,T32,2
3347,133,19,655,141,474,246,227,101,247,T2,T38,1
3271,359,10,90,12,4121,205,222,154,1697,T1,T23,1
3026,339,7,108,-3,808,206,231,163,1746,T2,T23,1
3341,9,14,430,102,3240,204,212,144,2407,T3,T32,7
3008,192,25,277,165,2724,209,250,161,1159,T3,T34,2
3404,81,11,470,119,2068,235,219,114,1559,T1,T35,1
2167,295,37,120,90,1405,97,203,234,888,T4,T10,3
2893,305,11,256,40,2180,189,234,185,1315,T3,T31,2
3409,98,23,420,12,2114,250,201,66,3400,T1,T40,7
3397,144,14,437,115,2234,239,236,123,2206,T3,T40,1
2682,34,3,60,3,2100,219,232,149,1830,T3,T17,5
3197,129,28,319,73,3566,252,211,67,319,T3,T33,1
3179,344,17,67,18,1383,183,211,165,2512,T1,T29,2
3045,289,21,418,134,5628,158,233,213,1138,T1,T29,2
2876,170,10,85,14,3274,227,245,149,2026,T1,T12,2
2818,53,23,247,-22,283,226,184,81,1434,T1,T29,5
2499,236,18,67,17,926,185,253,202,1189,T3,T2,2
2995,99,16,60,18,4462,244,217,98,150,T1,T29,2
3401,138,14,127,1,4308,240,235,121,4283,T3,T23,7
2641,273,32,319,148,999,121,230,238,1560,T3,T28,2
2666,71,16,85,14,1284,236,207,98,825,T3,T33,2
2901,306,18,277,87,1641,168,227,198,2594,T3,T33,2
2700,80,27,95,54,120,244,180,47,1793,T1,T30,5
2867,269,16,30,7,2828,178,244,205,2287,T3,T22,1
3145,48,6,30,6,4953,223,227,140,2774,T1,T23,2
3138,294,6,400,35,2268,202,239,176,934,T3,T32,2
3316,328,14,150,48,5437,186,224,177,920,T1,T38,1
2548,148,19,95,26,1123,242,235,114,1809,T3,T4,3
3204,108,13,192,21,3877,241,225,111,1890,T3,T32,2
2878,20,7,256,19,3437,215,225,147,3181,T1,T12,2
3146,45,14,484,53,3250,223,208,116,3181,T1,T29,1
2862,36,15,408,62,1536,218,205,119,2806,T3,T33,2
2847,270,3,30,-2,3830,212,240,166,6103,T1,T20,2
3383,272,13,323,65,1771,185,244,198,2012,T3,T32,1
3108,270,10,295,67,1433,193,244,190,1252,T3,T23,1
2867,135,8,30,-1,1746,233,237,135,2096,T3,T19,2
3264,211,26,124,26,2356,188,253,188,3705,T2,T22,1
3056,340,9,127,19,1266,201,227,165,2322,T1,T29,2
3224,32,10,268,29,1486,218,218,134,1087,T3,T39,1
2463,65,31,258,96,633,232,163,41,721,T4,T10,3
3189,183,18,283,90,2994,222,249,153,912,T3,T33,1
3251,27,8,684,103,5932,217,222,141,2559,T1,T29,2
2996,61,6,234,19,2648,225,228,137,1613,T3,T20,1
3287,278,2,324,64,3120,214,239,162,3031,T3,T24,2
2554,88,8,180,33,127,232,227,128,789,T4,T6,2
2955,131,17,277,115,5846,245,228,105,4266,T1,T30,2
3006,15,17,330,61,1784,202,202,133,3348,T3,T33,2
2982,0,18,108,13,2247,192,205,148,2685,T3,T32,2
2765,95,13,85,6,2798,240,220,108,306,T3,T10,2
2896,41,20,404,94,4544,218,193,102,5152,T1,T12,2
3366,63,2,306,40,3573,221,234,150,2151,T3,T38,1
3010,58,27,300,121,2017,228,174,63,1706,T3,T33,2
2751,74,4,67,2,992,225,231,142,2272,T3,T17,2
2722,151,2,108,23,2338,222,239,152,5134,T1,T12,2
2998,22,17,212,35,234,207,200,126,1292,T3,T24,2
3275,7,17,421,72,2074,196,203,141,1050,T3,T31,1
3087,133,12,390,61,379,239,234,123,1812,T1,T22,1
2909,63,21,190,17,721,233,192,81,1924,T3,T33,2
3014,141,12,769,95,5268,238,236,126,5963,T1,T12,2
2841,96,23,210,62,3270,249,200,67,684,T3,T10,2
3077,0,5,497,23,2952,213,231,156,1679,T3,T32,2
2936,128,8,258,26,3915,234,235,132,1613,T1,T12,2
3030,129,10,242,42,1062,237,234,127,1756,T3,T22,1
3165,148,9,277,56,2925,232,240,139,3340,T1,T29,1
3047,25,9,524,56,5615,216,221,141,5260,T1,T12,1
2903,155,10,162,33,4106,231,241,141,5958,T1,T12,2
2184,322,20,85,29,1034,166,216,188,799,T4,T10,3
3180,270,4,108,6,3271,208,241,171,1342,T3,T23,2
2872,147,17,150,31,3031,241,236,118,3148,T1,T30,2
3177,307,9,60,11,1262,194,235,180,1146,T2,T40,1
3181,41,19,95,27,3369,219,196,105,700,T3,T32,1
3080,224,13,297,46,5961,203,252,184,2174,T1,T29,2
2985,79,12,376,56,1861,236,218,112,1756,T3,T32,2
3239,272,8,240,79,4803,198,243,184,759,T1,T29,1
2815,88,18,60,19,598,244,207,86,780,T1,T23,2
2833,83,21,560,306,1208,244,199,75,1026,T3,T13,2
2292,108,22,30,9,1148,251,208,73,1158,T4,T4,6
3175,354,7,644,0,3878,209,228,157,4086,T1,T19,1
3100,70,16,361,44,5109,236,206,97,1758,T1,T29,1
2363,270,26,60,25,1320,143,238,229,902,T4,T10,3
3241,309,19,0,0,4025,165,224,198,1259,T1,T38,7
2302,51,15,60,12,1055,226,206,109,834,T4,T5,3
3211,28,8,569,59,1126,217,223,141,2594,T2,T23,2
3231,37,16,297,43,1354,218,203,117,768,T2,T32,1
2863,308,29,108,62,4842,130,208,212,4818,T1,T29,2
3180,78,8,124,21,2340,231,226,128,2597,T1,T29,1
3192,320,4,391,48,4677,209,236,165,2353,T1,T29,2
3052,120,5,0,0,1211,229,235,140,3085,T3,T23,1
3047,346,22,390,188,953,172,199,162,3298,T3,T24,2
3121,177,10,376,30,2166,225,246,153,870,T3,T32,2
2887,239,27,150,52,805,161,251,218,684,T3,T13,2
2658,80,18,170,38,1890,241,205,87,1983,T3,T4,6
2764,328,18,0,0,2322,173,216,181,834,T3,T13,1
2896,307,26,258,121,537,141,214,209,1104,T3,T33,1
3195,245,4,541,86,5753,212,243,169,1243,T1,T29,2
3322,335,17,170,52,3192,179,215,173,2382,T3,T24,1
3212,39,10,42,-9,2804,221,217,130,2232,T1,T22,1
3065,44,14,255,25,3027,222,210,119,5682,T1,T29,1
2105,346,24,124,76,313,167,195,162,488,T4,T10,6
3233,118,14,524,118,4984,243,227,111,2581,T1,T22,2
3018,157,6,297,10,6054,227,241,148,3529,T1,T29,2
3049,48,14,973,230,1136,224,208,115,2400,T3,T32,2
3325,134,13,488,80,1338,241,233,119,2321,T3,T32,1
3079,57,16,153,36,1148,229,206,105,2315,T3,T24,1
3026,332,22,362,-14,1914,165,207,179,1632,T3,T33,2
3353,124,9,234,31,1848,235,234,130,3199,T1,T38,7
2715,128,20,85,-20,366,248,224,94,446,T1,T30,5
3310,306,8,361,29,3521,197,235,178,1443,T1,T39,1
2659,354,20,85,28,1967,183,202,153,4545,T1,T29,2
3228,344,8,30,3,1172,205,228,162,1909,T2,T23,1
2706,277,26,60,31,1956,142,235,227,134,T3,T33,2
2910,251,24,285,90,2227,159,248,221,1842,T3,T13,2
3096,47,28,228,20,1802,217,167,68,973,T3,T31,1
2968,13,3,552,59,832,216,233,154,1945,T1,T29,2
2604,343,10,541,43,680,200,225,163,792,T3,T11,3
3353,96,7,67,-12,4566,232,229,129,4375,T3,T23,7
2920,115,17,607,122,3036,247,222,98,531,T3,T10,2
3110,88,19,124,27,962,245,205,82,2154,T1,T29,1
3108,273,21,417,71,3255,160,241,217,1471,T3,T24,1
2735,3,24,60,28,1510,181,188,138,1022,T3,T31,2
2599,347,24,42,20,1710,168,194,159,4528,T1,T29,2
2897,109,16,270,87,277,245,221,99,725,T1,T29,2
3030,128,8,162,2,853,234,235,132,1057,T3,T32,1
3021,321,19,150,-10,1080,168,218,188,2226,T3,T32,1
2928,219,12,966,133,2613,206,252,180,1332,T3,T34,2
2935,53,22,295,54,1673,226,187,84,1148,T1,T29,1
3464,121,10,752,115,3492,237,232,125,1318,T3,T37,7
3120,22,11,190,11,4030,213,217,139,1825,T1,T29,2
3101,317,8,277,35,2343,200,233,173,2471,T3,T32,2
2862,78,28,95,2,362,242,178,47,295,T1,T22,1
2936,345,14,30,8,1140,191,217,164,2258,T3,T32,2
3400,297,12,408,79,1727,187,236,189,2081,T3,T32,1
3069,21,6,67,7,3042,216,227,148,1008,T1,T29,2
3338,279,12,270,62,5359,186,242,195,899,T1,T39,1
2939,239,33,408,253,2156,142,246,226,1236,T3,T13,2
3032,342,19,361,173,966,178,208,167,3337,T3,T24,2
2743,25,4,0,0,2643,218,231,150,6454,T1,T16,2
2850,43,10,330,8,2550,222,217,129,924,T3,T31,1
3100,0,2,390,15,1299,216,235,156,1307,T2,T23,1
2644,345,3,85,-4,509,214,235,159,1426,T1,T12,2
3198,197,12,323,54,942,217,250,166,469,T3,T32,1
2594,103,12,60,-5,2008,240,224,112,2121,T3,T10,6
3187,39,21,90,28,2239,216,190,101,1581,T3,T24,1
3159,17,13,626,-12,4126,208,211,138,3818,T1,T29,1
2869,93,18,175,52,192,245,210,87,1282,T1,T29,1
2998,295,26,390,201,2536,139,223,219,1530,T3,T33,1
3047,36,8,42,2,4671,220,221,137,1082,T1,T23,2
3225,42,13,277,5,1965,222,211,122,930,T3,T31,1
2811,43,10,228,26,3180,222,218,130,6602,T1,T12,2
3013,119,8,541,188,1989,235,233,129,2890,T3,T32,2
3011,3,22,297,42,2322,185,193,140,2201,T3,T24,1
3066,272,17,90,19,808,173,243,208,1589,T3,T32,2
2940,65,11,541,12,959,230,218,120,2177,T1,T12,2
3042,133,11,459,70,2486,238,235,126,2306,T3,T23,1
3013,194,9,698,90,2122,219,247,163,2546,T3,T32,2
3036,280,13,95,11,2394,183,241,198,3078,T1,T22,1
2903,269,26,234,98,1090,143,238,229,1180,T3,T13,2
3305,30,9,218,2,5528,218,220,138,853,T1,T38,1
2445,322,23,108,14,816,156,210,191,1064,T4,T10,6
2943,10,12,0,0,1134,206,215,145,2240,T3,T32,2
3204,9,18,418,98,1084,197,202,138,2128,T3,T22,1
2267,5,25,297,98,400,178,182,133,391,T4,T10,2
2965,142,11,242,23,5318,236,237,130,1939,T1,T23,1
2900,108,13,402,121,671,242,224,109,1253,T1,T30,5
2894,270,6,339,26,1036,204,242,177,516,T3,T32,2
3321,341,10,175,51,5934,199,225,165,454,T1,T38,1
3022,30,9,451,0,2850,218,220,137,1383,T3,T32,2
2988,325,19,591,72,5552,171,217,184,1800,T1,T29,2
2975,332,15,60,10,5284,184,220,175,2318,T1,T16,1
2816,57,11,30,8,2197,228,216,120,2516,T1,T29,2
3141,50,14,400,35,2203,226,209,114,1518,T3,T32,2
2719,20,8,242,30,2101,215,224,145,5539,T1,T29,2
3188,122,10,342,13,4285,238,232,124,2864,T1,T29,1
3204,1,27,170,58,3947,171,178,135,3486,T3,T24,1
3232,9,19,242,28,3284,195,200,138,3281,T3,T24,2
3077,77,8,180,17,6733,231,225,127,2789,T1,T29,2
2582,116,9,400,71,450,236,231,126,234,T3,T2,3
3044,135,17,234,16,212,244,230,109,1749,T1,T22,1
3184,22,9,258,42,1290,214,220,141,4890,T2,T22,1
2847,62,8,212,10,3810,227,223,130,6136,T1,T12,2
2844,209,21,85,11,3872,199,254,183,3309,T1,T30,1
3253,105,13,780,137,2310,242,223,108,2486,T3,T33,1
2965,9,9,42,6,2255,211,223,149,1443,T1,T23,1
3193,342,3,402,54,4642,213,235,159,2334,T1,T29,2
3050,234,39,569,253,2300,126,239,225,1243,T3,T13,1
2829,335,10,30,4,2780,198,227,168,2789,T1,T23,2
3149,120,11,95,17,6512,240,230,119,2058,T1,T29,1
3287,103,35,120,49,3998,253,173,0,3427,T3,T33,7
3040,27,13,258,60,1463,214,212,132,2263,T1,T29,2
2929,86,10,390,7,4066,235,223,119,4361,T1,T23,2
2564,352,13,212,-5,2501,197,218,158,2561,T3,T11,2
2751,48,12,451,-6,2413,224,214,122,5878,T1,T12,2
2699,48,19,170,39,1872,223,194,97,1027,T3,T10,2
2884,53,10,67,3,934,226,219,127,2138,T3,T24,1
3382,189,8,1084,180,3109,221,246,160,1184,T3,T33,1
3113,90,9,240,-7,2455,234,226,123,2335,T3,T32,2
3171,78,13,67,-8,1608,237,215,106,1565,T1,T29,1
3286,0,7,268,53,1308,210,227,155,573,T1,T38,1
2391,191,33,42,24,552,199,243,154,1215,T4,T4,3
2788,36,21,467,-16,3182,214,190,104,2539,T3,T10,1
3174,144,6,272,33,295,229,239,143,2925,T3,T31,2
2945,205,12,150,26,5295,213,251,171,3298,T1,T29,1
2847,157,15,60,10,4751,236,241,131,4566,T1,T30,2
3335,346,31,180,57,1055,145,174,157,1492,T2,T39,1
3018,170,16,1110,220,2737,230,245,142,1237,T3,T34,2
2655,234,22,180,27,3103,177,253,207,1463,T3,T4,3
2998,146,9,607,72,5084,233,239,138,6129,T1,T12,2
3273,344,3,573,37,6066,213,234,159,759,T1,T22,1
2466,331,20,85,28,1173,167,210,180,335,T4,T10,6
2526,334,26,60,21,663,153,197,178,1348,T3,T10,2
3251,321,15,636,48,1454,182,224,182,1482,T3,T13,1
3192,103,4,170,-2,2549,227,234,141,1006,T1,T23,1
2620,322,8,0,0,830,200,232,171,1719,T1,T20,2
2495,55,19,190,52,849,228,196,93,962,T3,T10,2
3074,77,12,95,16,600,235,217,112,1333,T1,T22,1
2356,128,23,67,15,212,250,219,83,706,T3,T4,3
3188,292,3,90,2,1392,212,238,165,524,T2,T32,1
2241,302,19,309,150,497,165,228,202,295,T4,T10,3
3002,282,16,268,19,1660,173,239,205,3368,T1,T22,1
3112,225,2,518,58,2248,217,240,161,2298,T3,T32,1
3119,52,19,313,26,4072,226,195,95,3137,T1,T29,2
3199,164,7,60,4,2241,227,242,149,2268,T1,T30,1
2978,195,7,552,65,5635,219,246,162,3615,T1,T20,2
2844,76,10,306,23,3663,233,220,118,6185,T1,T12,2
2926,81,6,0,0,3711,228,230,136,6277,T1,T16,2
2788,55,10,170,22,2089,226,220,127,750,T3,T11,2
2117,300,34,277,222,297,106,203,226,295,T4,T10,3
2515,107,7,108,0,1050,233,232,131,4971,T1,T18,2
3220,345,3,553,83,2349,214,235,159,511,T3,T23,1
2878,7,11,417,47,2355,207,218,148,2571,T1,T29,2
3260,23,14,67,1,2156,211,209,131,272,T3,T35,7
3294,198,12,85,15,3681,216,250,167,1641,T3,T32,1
2282,345,23,350,190,570,170,198,163,361,T4,T10,3
2480,356,9,402,68,430,205,224,156,1019,T4,T6,6
3255,138,11,350,61,3141,237,236,128,1106,T3,T32,2
2693,45,7,256,0,792,222,225,138,1124,T1,T12,2
3071,24,10,30,2,1383,215,218,140,1744,T3,T20,1
3196,14,4,0,0,4246,216,231,153,1657,T1,T23,1
3261,78,12,277,49,1226,236,217,111,2250,T1,T23,1
2988,184,9,547,67,1801,222,247,157,2040,T3,T32,2
2855,71,15,0,0,255,236,210,102,108,T3,T32,2
3191,323,9,560,16,3886,197,231,173,4155,T1,T29,1
3088,73,15,636,256,646,236,211,103,1074,T1,T30,2
3397,179,16,362,62,2910,225,248,150,1771,T3,T32,1
3067,264,7,666,68,5628,202,244,181,3435,T1,T29,2
3086,81,7,30,-3,3931,230,227,129,1184,T1,T23,1
3126,60,9,134,20,2819,228,221,126,3461,T1,T30,1
2469,323,14,42,2,834,183,224,181,684,T3,T10,6
3130,173,23,258,35,2534,227,244,136,3368,T1,T22,1
3327,131,9,510,117,1484,235,235,132,2778,T1,T29,1
3125,49,9,124,9,1154,224,221,131,1956,T1,T23,1
2941,81,23,420,136,450,244,193,67,1475,T1,T29,2
2599,84,9,124,16,1558,233,225,125,1084,T3,T2,3
2997,126,24,474,220,883,251,216,79,920,T1,T30,2
3037,232,32,598,117,2155,152,248,218,1216,T3,T13,2
2836,48,11,201,2,2934,224,215,123,4334,T1,T29,2
3455,33,22,834,21,2510,210,187,104,1892,T1,T40,1
2891,292,8,0,0,4875,197,239,182,1617,T1,T23,5
2698,339,8,210,41,1860,203,228,164,2177,T3,T10,2
3008,146,18,595,9,5341,242,235,116,2992,T1,T30,2
3291,300,13,470,56,765,184,235,191,1445,T2,T23,1
3212,35,18,30,2,2906,215,197,112,2520,T1,T29,1
2832,1,16,295,85,2567,195,208,149,730,T3,T24,2
3139,137,15,212,34,150,242,233,115,2126,T2,T32,1
3200,306,6,108,10,1361,203,237,173,351,T3,T23,1
3211,225,2,450,30,5850,217,240,161,2365,T1,T22,2
3108,322,11,210,55,3565,193,229,176,735,T1,T29,2
3196,220,8,592,112,390,211,248,173,2128,T3,T23,2
2541,69,7,0,0,752,227,227,134,3279,T1,T20,2
2973,155,11,342,60,1620,233,241,138,1790,T3,T31,2
3073,50,16,1165,204,2760,225,204,108,1318,T3,T24,2
3065,146,15,108,20,3523,240,237,122,2460,T3,T33,1
3139,40,12,510,58,1343,221,213,124,2619,T3,T32,1
2768,15,7,446,10,1410,214,226,149,1071,T1,T12,2
2862,14,17,480,165,875,202,202,134,864,T3,T31,2
2875,29,13,376,-52,481,215,210,129,1937,T1,T29,2
2182,292,20,30,10,1120,159,232,211,484,T4,T10,3
3336,304,13,571,55,3376,185,233,188,1602,T1,T39,1
2845,311,24,228,82,3782,150,216,203,1045,T1,T29,2
3269,232,6,42,3,5994,211,245,172,450,T1,T38,1
3035,177,4,510,125,2108,222,242,156,2597,T3,T32,2
2633,119,6,379,11,532,230,235,138,1440,T1,T12,2
2703,168,9,30,-1,2123,228,244,148,660,T3,T11,2
2913,68,10,604,115,3102,231,220,121,558,T3,T10,2
2830,18,22,598,303,1167,198,189,121,953,T3,T33,2
3042,323,28,192,1,1873,140,199,193,3495,T1,T22,1
2833,200,24,182,-3,1687,203,253,172,1022,T3,T13,2
2918,344,8,319,12,2356,205,228,162,2465,T1,T29,2
2923,227,26,285,-8,953,173,253,206,531,T3,T13,2
3203,45,12,390,3,2801,223,214,123,1036,T3,T22,1
2905,133,11,108,15,830,237,235,127,2767,T1,T22,1
3373,281,4,134,13,2610,209,240,169,2406,T1,T39,7
3081,296,7,175,3,1789,200,238,178,1053,T3,T23,1
3226,81,10,765,64,1308,233,223,121,2679,T2,T23,2
3323,274,8,390,55,3353,200,242,182,1613,T1,T39,1
2623,53,14,255,73,216,227,208,111,1092,T1,T12,2
2728,240,36,124,46,1549,132,242,229,1470,T3,T4,2
2977,340,18,295,65,3221,178,210,169,1443,T3,T39,1
3355,23,16,216,66,5010,209,204,128,153,T1,T29,1
2105,40,26,0,0,543,211,172,82,815,T4,T10,4
3382,27,6,216,-14,2143,217,226,145,3463,T1,T38,7
2791,54,11,42,7,3648,226,217,123,3000,T1,T23,1
2742,101,20,30,-11,1816,249,208,79,1500,T3,T10,2
2901,127,16,127,31,1530,245,228,108,2167,T3,T31,2
2370,358,17,268,80,787,192,207,151,446,T4,T6,3
3211,87,17,636,4,1332,242,210,92,2548,T3,T33,2
3252,31,7,242,25,3702,218,225,143,1600,T1,T39,1
3072,105,18,170,55,1436,248,215,89,1226,T3,T33,1
2751,43,9,558,31,120,222,220,132,782,T3,T11,5
2332,25,10,120,47,1209,215,219,140,942,T4,T3,3
3062,265,11,95,8,511,192,245,192,836,T3,T23,2
2898,97,16,525,150,2529,244,215,96,390,T3,T31,1
3596,115,28,874,377,2672,254,201,55,966,T1,T40,1
2536,57,12,90,15,60,228,215,119,808,T4,T6,2
2541,148,7,175,-1,366,230,240,142,1302,T1,T9,2
3030,123,15,497,91,457,244,228,110,1926,T3,T33,2
2637,8,14,60,13,703,202,210,143,1296,T3,T33,2
2855,329,15,67,15,1473,183,221,177,1294,T3,T23,1
2819,167,11,330,84,1667,229,244,145,2598,T1,T23,2
3195,100,13,192,39,1136,241,222,110,1622,T1,T29,1
2622,102,16,0,0,1090,245,218,98,854,T1,T30,2
2510,266,17,300,95,607,173,245,209,335,T4,T10,6
3249,79,20,30,-1,1756,242,199,78,2885,T1,T39,1
3004,52,6,210,-15,4147,223,227,140,1245,T1,T29,2
3006,203,28,234,106,1962,193,251,177,2081,T3,T33,2
2732,175,10,335,141,2751,226,245,151,1233,T3,T2,3
2895,90,6,256,14,2018,229,231,136,2908,T3,T26,2
3201,123,10,0,0,3841,237,233,126,2888,T1,T23,7
3104,299,8,108,29,1987,197,237,180,1964,T1,T29,2
3327,104,12,319,64,1050,240,225,114,1282,T3,T39,7
2887,51,24,175,78,192,224,182,80,495,T1,T29,2
2956,28,5,426,24,3998,218,230,148,4694,T1,T12,2
3180,106,7,361,6,5059,232,232,132,2279,T1,T22,1
2904,127,21,247,77,1080,249,222,91,361,T1,T30,5
2998,324,22,430,144,5162,159,211,188,553,T1,T29,2
2713,69,8,295,29,382,229,224,128,1082,T3,T11,2
3005,21,6,30,2,2884,216,227,148,1538,T1,T29,2
3097,217,14,272,21,787,205,252,181,1461,T1,T30,2
2659,146,19,67,15,1899,242,234,114,5171,T1,T29,2
2749,348,8,30,3,1024,205,227,160,2160,T3,T17,2
3370,198,11,631,164,1842,216,250,166,1383,T3,T38,1
2985,52,19,162,26,5199,226,195,95,2613,T1,T29,1
2803,354,13,134,24,3259,198,217,157,994,T3,T24,2
3080,201,12,342,29,2881,215,251,168,977,T3,T34,2
3140,279,14,134,42,2523,182,241,198,828,T3,T32,2
